Abbreviation,لنډیزونه,
All,ټول,
Attachment,ضميمه,
Backup Files,د شاتړ دوتنې,
Backup Frequency,شاتړ د فریکونسۍ,
Daily,هره ورځ,
Description,Description,
File Type,د دوتنې بڼه,
Is Folder,ده پوښی,
Keyboard Shortcuts,کيلي لنډلار,
Left,کيڼ,
Old Parent,زاړه Parent,
Reference DocName,د حوالې ډاټا نوم,
Reference DocType,د ډاټا ډول,
Reload,Reload,
Right,حق,
Secret,پټ,
Send Email for Successful Backup,بریالي بیک اپ لپاره بریښناليک ولېږئ,
Send Notifications To,د خبرتیا ته ددې مطلب لېږنه,
Session Defaults,د ناستې ټاکل,
System Manager,سيستم مدير,
Title,نوم,
User Settings,د کارن امستنې,
View Website,محتویات وېب پاڼه,
Weekly,د اونۍ,
title,سرلیک,
