Abbreviation,ตัวย่อ,
All,ทั้งหมด,
Attachment,ความผูกพัน,
Backup Files,สำรองไฟล์,
Backup Frequency,ความถี่ในการสำรองข้อมูล,
Daily,ประจำวัน,
Description,คำอธิบาย,
File Type,ประเภทไฟล์,
Is Folder,เป็นโฟลเดอร์,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Left,ซ้าย,
Old Parent,ผู้ปกครองเก่า,
Reference DocName,เอกสารอ้างอิง DocName,
Reference DocType,DocType อ้างอิง,
Reload,โหลด,
Right,ขวา,
Secret,ลับ,
Send Email for Successful Backup,ส่งอีเมลเพื่อการสำรองข้อมูลที่ประสบความสำเร็จ,
Send Notifications To,แจ้งเตือนไปให้,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
System Manager,จัดการระบบ,
Title,ชื่อเรื่อง,
User Settings,การตั้งค่าผู้ใช้,
View Website,ดูเว็บไซต์,
Weekly,รายสัปดาห์,
title,หัวข้อ,
