Abbreviation,Zkratka,
All,Všechno,
Attachment,Příloha,
Backup Files,Zálohovat soubory,
Backup Frequency,zálohování frekvence,
Daily,Denně,
Description,Popis,
File Type,Typ souboru,
Is Folder,Je Folder,
Keyboard Shortcuts,Klávesové zkratky,
Left,Zbývá,
Old Parent,Staré nadřazené,
Reference DocName,Odkaz DocName,
Reference DocType,Referenční DocType,
Reload,Znovu načíst,
Right,V pravo,
Secret,Tajný,
Send Email for Successful Backup,Odeslat e-mail pro úspěšné zálohování,
Send Notifications To,Odeslat upozornění,
Session Defaults,Výchozí nastavení relace,
System Manager,Správce systému,
Title,Titulek,
User Settings,Uživatelské nastavení,
View Website,K webové stránce,
Weekly,Týdenní,
title,titul,
