Abbreviation,អក្សរកាត់,
All,ទាំងអស់,
Attachment,ឯកសារភ្ជាប់,
Backup Files,ឯកសារបម្រុងទុក,
Backup Frequency,ភពញឹកញប់បម្រុងទុក,
Daily,ជារៀងរាល់ថ្ងៃ,
Description,ការពិពណ៌នាសង្ខេប,
File Type,ប្រភេទឯកសារ,
Is Folder,តើការថត,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Left,ពីឆ្វេង,
Old Parent,ឪពុកម្តាយចាស់,
Reference DocName,យោង DocName,
Reference DocType,ឯកសារយោងប្រភេទឯកសារ,
Reload,ផ្ទុកឡើងវិញ,
Right,ស្តាំ,
Secret,សម្ងាត់,
Send Email for Successful Backup,ផ្ញើអ៊ីម៉ែលសម្រាប់ការបម្រុងទុកដែលជោគជ័យ,
Send Notifications To,ផ្ញើការជូនដំណឹងដើម្បី,
Session Defaults,លំនាំដើមវេន។,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Title,ចំណងជើង,
User Settings,ការកំណត់អ្នកប្រើ។,
View Website,មើលគេហទំព័រ,
Weekly,ប្រចាំសប្តាហ៍,
title,ចំណងជើង,
