Abbreviation,staat,
All,Almal,
Attachment,Attachment,
Backup Files,Rugsteunlêers,
Backup Frequency,Rugsteunfrekwensie,
Daily,daaglikse,
Description,beskrywing,
File Type,Leër tipe,
Is Folder,Is gids,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Left,links,
Old Parent,Ou Ouer,
Reference DocName,Referentie DocName,
Reference DocType,Verwysingsdokumenttipe,
Reload,Reload,
Right,reg,
Secret,Secret,
Send Email for Successful Backup,Stuur e-pos vir suksesvolle rugsteun,
Send Notifications To,Stuur kennisgewings aan,
Session Defaults,Sessie verstek,
System Manager,Stelselbestuurder,
Title,Titel,
User Settings,Gebruikerinstellings,
View Website,Besigtig webwerf,
Weekly,weeklikse,
title,Titel,
