17-Read Only,17-Solo Lectura
31-Upload and Edit,31-Subida y Edición
4-Upload Only,4-Subida Unicamente
Abbreviation,Abreviatura
About,Acerca de
About Us Settings,Ajustes Página Acerca de
Accounting,Financiero
"Accounts, Invoices, Taxation, and more.","Cuentas, Facturas, Tasas y más."
Action If Same Rate is Not Maintained,Acción si no se mantiene la misma Tasa
Active,Activo
Activity Type,Identificación Actividad
Add / Remove Columns,Añade / Elimina Columnas
Add a Filter,Añade Filtro
Add Blog Category,Añadir Categoria de Blog
Add Tags,Añade Etiquetas
AI Extract,Extraído IA
Alert Channels,Canales de Alerta
Alert Date,Fecha de Alerta
Alert Gap,Intervalo sin Alerta
Alert Log,Registro de Alertas
Alert Threshold,Umbrales de Alerta
Alerts Active,Alertas Activas
Alerts Received,Alertas Recibidas
Answered,Respondido a Cliente
Apply Filters,Aplicar Filtros
Assets,Bienes/Activos
"Assets, Depreciations, Repairs, and more.","Activos, Depreciaciones, Reparaciones y más."
Assigned,Asignado
Assistant Section,Asistente
Attachment Files,Ficheros Adjuntos
Attachment Item,Ficheros Controlados
Attended,Asistió
Backup Now,Respaldo Ahora
Backup public and private files along with the database and site config,"Respaldo con base de datos, archivos públicos, privados y site_config.json"
Bank Reconciliation Tool,Herramienta de Reconciliación Bancaria
Bill for Rejected Quantity in Purchase Invoice,Factura por cantidad rechazada en la Factura de Compra
Birthdays,Cumpleaños
Blanket Order,Pedido Marco
Blogger,Bloguero
"Blogs, Website View Tracking, and more.","Blogs, Seguimiento de Vistas Web y más."
BOM,LdM
Box,Caja
Build,Desarrollador
by Email,Por Email
by SMS,por SMS
CalDav Calendar,Calendario CalDav
CalDav ID Calendar,Calendario CalDav
CalDav ID URL,ID URL CalDav
Calendar,Calendario
Can Submit,Puede Validar
Cash Flow Statement,Estado de Tesorería
Chairperson,Presidente
Change Abbreviation,Cambiar Abreviatura
Channels,Canales
Chart of Accounts,Plan Contable
Check Addon,Extensión NC
Check Credentials,Comprueba Credenciales
Check Stock Projected Qty,Comprobar la Cantidad de Estocaje Proyectado
Child Data,Datos de Tabla
Child Selector,Selector de Tablas
Column Width,Ancho de Columna
Commented,Comentado por Cliente
Comments Closed,Comentarios Cerrados
Committed Date,Fecha Contrato Proveedor
Communication Date,Fecha Comunicación
Company Fax,Fax Empresa
Company Phone,Teléfono Empresa
Company Website,Web Empresa
Complete by,Completar el
Configure Account Settings,Configura los Ajustes de Finanzas
Configure Buying Settings.,Configurar los Ajustes de Compras.
Configure Columns,Configurar Columnas
Configure Selling Settings.,Configurar los Ajustes de Ventas.
Configure the action to stop the transaction or just warn if the same rate is not maintained.,Configurar la transacción de paro o sólo advertir de que no se mantiene la misma tasa
Confirm action,Confirma la acción
Connections,Conexiones
Consequent Event,Evento Consecuente
Content Phase,Fase de Creación de Contenido
Contract Number,Numero Contrato
Copy to Clipboard,Copiar al Portapapeles
Create,Crear
Create a Customer,Crear un Cliente
Create a Fixed Asset Item,Crear un Artículo de Activo Fijo
Create a Material Request,Crear una Solicitud de Material
Create a Material Transfer Entry,Crear una Entrada de Transferencia de Material
Create a Product,Crear un Producto
Create a Quotation,Crear una Oferta
Create a Supplier,Crear un Proveedor
Create an Asset,Crear un Activo
Create an Asset Category,Crear una Categoría de Activos
Create and Send Quotation,Crear y Enviar Oferta
Create Blogger,Crear Bloguero
Create Department,Crear Departamento
Create Designation,Crear Puesto
Create Entry,Crear Entrada
Create Holiday List,Crear Listado de Vacaciones
Create in NC,Crear en NC
Create Income Tax Slab,Crear Tabla IRPF
Create Lead,Crear Iniciativa
Create Leave Allocation,Crear Solicitud de Ausencia
Create Leave Application,Crear Peticion de Ausencia
Create Leave Type,Crear Tipo de Ausencia
Create NC Group,Crear Grupo NC
Create Opportunity,Crear Oportunidad
Create Payroll Period,Crear Período de Nómina
Create Salary Component,Crear Componente Salarial
Create Salary Structure,Crear Estructura Salarial
Create Your First Purchase Invoice ,Crear la primera Factura de Venta
Create your first Purchase Order,Crear tu primera Orden de Compra
Create Your First Sales Invoice ,Crear la primera Factura de Venta
Create your first Sales Order,Crear tu primer Pedido de Venta
Customer Comments,Comentarios Cliente
Customer Date,Fecha Contractual Cliente
Customer name,Denominación Cliente
Customer Number,Numero Cliente
Customer Penalty,Penalizado Cliente
Customer Submission,Fecha Entrega Cliente
Customer Updated,Fecha Actualizada Cliente
Customer Weight,Peso Cliente
Dashboard,Panel Control
Data Import,Importación de Datos
Default In-Transit Warehouse,Almacén en Tránsito por Defecto
Deleted Event in CalDav,Borrado Evento en CalDav
Deleted Event in CalDav Calendar,Borrado el Evento en Calendario CalDav 
Deliver To,Transmitir A
Deliverable,Entregable
Deliverable Type,Tipo Entregable
Deliverables,Entregables
Deliverables & Settings,Entregables
