Abbreviation,Abreviatura,
All,Todos,
Attachment,Anexo,
Backup Files,Arquivos de backup,
Backup Frequency,Frequência de Backup,
Daily,Diário,
Description,Descrição,
File Type,Tipo de arquivo,
Is Folder,É Pasta,
Keyboard Shortcuts,Atalhos do teclado,
Left,Saiu,
Old Parent,Principal Antigo,
Reference DocName,Nome do Documento de Referência,
Reference DocType,DocType de Referência,
Reload,Recarregar,
Right,Direita,
Secret,Segredo,
Send Email for Successful Backup,Enviar email para backup bem-sucedido,
Send Notifications To,Enviar Notificações para,
Session Defaults,Padrões de Sessão,
System Manager,Administrador do Sistema,
Title,Título,
User Settings,Configurações do Usuário,
View Website,Ver  Site,
Weekly,Semanalmente,
title,título,
