Abbreviation,Rövidítés,
All,Összes,
Attachment,Csatolmány,
Backup Files,Biztonsági fájlok,
Backup Frequency,Biztonsági mentések gyakorisága,
Daily,Napi,
Description,Leírás,
File Type,Fájl típusa,
Is Folder,Ez a mappa,
Keyboard Shortcuts,Gyorsbillentyűket,
Left,Elhagyja,
Old Parent,Régi szülő,
Reference DocName,Hivatkozás DocName,
Reference DocType,Referencia DocType,
Reload,Reload,
Right,Jobb,
Secret,Titok,
Send Email for Successful Backup,E-mail küldése a sikeres mentéshez,
Send Notifications To,Értesítést küld,
Session Defaults,Munkamenet alapértelmezései,
System Manager,Rendszer menedzser,
Title,Cím,
User Settings,Felhasználói beállítások,
View Website,Weboldal megtekintése,
Weekly,Heti,
title,cím,
