Abbreviation,Kısaltma,
About,Hakkında,
All,Tümü,
Apps,Uygulamalar,
Attachment,EK,
Backup Files,Yedek Dosyaları,
Backup Frequency,Yedekleme Sıklığı,
Daily,Günlük,
Description,Açıklama,
File Type,Dosya Türü,
Frappe Support,Frappe Desteği,
Is Folder,Klasör,
Keyboard Shortcuts,Klavye Kısayolları,
Left,Ayrıldı,
Log out,Çıkış,
Old Parent,Yaşlı Ebeveyn,
Reference DocName,Referans DocName,
Reference DocType,Referans DocType,
Reload,Yeniden Yükle,
Right,Sağ,
Secret,Gizli,
Send Email for Successful Backup,Başarılı Yedekleme için E-posta Gönder,
Send Notifications To,Bildirimleri Gönder,
Session Defaults,Oturum Varsayılanları,
System Manager,Sistem Yöneticisi,
Title,Başlık,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
User Settings,Kullanıcı Ayarları,
View Website,Websitesine Git,
Weekly,Haftalık,
title,Başlık,
