Abbreviation,ചുരുക്കല്,
All,എല്ലാം,
Attachment,അറ്റാച്ചുമെൻറ്,
Backup Files,ഫയലുകൾ ബാക്കപ്പ് ചെയ്യുക,
Backup Frequency,ബാക്കപ്പ് ഫ്രീക്വൻസി,
Daily,നിത്യജീവിതത്തിലെ,
Description,വിവരണം,
File Type,ഫയൽ തരം,
Is Folder,ഫോൾഡർ,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Left,ഇടതുപക്ഷം,
Old Parent,പഴയ പേരന്റ്ഫോള്ഡര്,
Reference DocName,റെഫറൻസ് DocName,
Reference DocType,റഫറൻസ് ഡോക്‌ടൈപ്പ്,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Right,വലത്,
Secret,രഹസ്യം,
Send Email for Successful Backup,വിജയകരമായ ബാക്കപ്പിൽ ഇമെയിൽ അയയ്ക്കുക,
Send Notifications To,അറിയിപ്പുകൾ അയയ്ക്കുക,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
System Manager,സിസ്റ്റം മാനേജർ,
Title,ശീർഷകം,
User Settings,ഉപയോക്തൃ ക്രമീകരണങ്ങൾ,
View Website,വെബ്സൈറ്റ് കാണുക,
Weekly,പ്രതിവാര,
title,ശീർഷകം,
