Abbreviation,Abreviatura,
All,Todos,
Attachment,Anexo,
Backup Files,Arquivos de backup,
Backup Frequency,Frequência da cópia de segurança,
Daily,Diário,
Description,Descrição,
File Type,Tipo de arquivo,
Is Folder,É Pasta,
Keyboard Shortcuts,Atalhos do teclado,
Left,Esquerda,
Old Parent,Fonte Antiga,
Reference DocName,DocName de referência,
Reference DocType,Reference DocType,
Reload,recarregar,
Right,Direita,
Secret,Segredo,
Send Email for Successful Backup,Enviar email para backup bem-sucedido,
Send Notifications To,Enviar notificações para,
Session Defaults,Padrões de Sessão,
System Manager,System Manager,
Title,Título,
User Settings,Configurações do Usuário,
View Website,Veja site,
Weekly,Semanal,
title,título,
