Abbreviation,సంక్షిప్త,
All,ALL,
Attachment,జోడింపు,
Backup Files,ఫైళ్ళను బ్యాకప్ చేయండి,
Backup Frequency,బ్యాకప్ ఫ్రీక్వెన్సీ,
Daily,డైలీ,
Description,వివరణ,
File Type,ఫైల్ రకం,
Is Folder,ఫోల్డర్ని,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Left,ఎడమ,
Old Parent,పాత మాతృ,
Reference DocName,రిఫరెన్స్ DocName,
Reference DocType,రిఫరెన్స్ డాక్ టైప్,
Reload,Reload,
Right,కుడి,
Secret,సీక్రెట్,
Send Email for Successful Backup,విజయవంతమైన బ్యాకప్ కోసం ఇమెయిల్ పంపండి,
Send Notifications To,ప్రకటనలను పంపండి,
Session Defaults,సెషన్ డిఫాల్ట్‌లు,
System Manager,వ్యవస్థ మేనేజర్,
Title,శీర్షిక,
User Settings,వినియోగదారు సెట్టింగులు,
View Website,చూడండి వెబ్సైట్,
Weekly,వీక్లీ,
title,శీర్షిక,
