Abbreviation,Zkratka,
All,ALL,
Attachment,Príloha,
Backup Files,Zálohovanie súborov,
Backup Frequency,Frekvencia zálohovania,
Daily,Denne,
Description,popis,
File Type,Typ súboru,
Is Folder,Je Folder,
Keyboard Shortcuts,Klávesové skratky,
Left,Vľavo,
Old Parent,Staré nadřazené,
Reference DocName,Odkaz DocName,
Reference DocType,Referenčný DocType,
Reload,Znovu načítať,
Right,V pravo,
Secret,tajomstvo,
Send Email for Successful Backup,Odoslať e-mail pre úspešné zálohovanie,
Send Notifications To,Odeslat upozornění,
Session Defaults,Predvolené hodnoty relácie,
System Manager,Správca systému,
Title,Názov,
User Settings,Používateľské nastavenia,
View Website,Prejsť na webstránku,
Weekly,Týdenní,
title,titul,
