Abbreviation,Kinkirî,
All,Gişt,
Attachment,Attachment,
Backup Files,Pelên Paşve,
Backup Frequency,Frequency Backup,
Daily,Rojane,
Description,Terîf,
File Type,Cureyê pelê,
Is Folder,e Folder,
Keyboard Shortcuts,Kurtikên Pêl,
Left,Çep,
Old Parent,Parent Old,
Reference DocName,DocName,
Reference DocType,DocType Reference,
Reload,Rûpelê,
Right,Rast,
Secret,Dizî,
Send Email for Successful Backup,Ji bo Serkeftî ya Serkeftî ya Îmêlê bişîne,
Send Notifications To,Send Notifications To,
Session Defaults,Session Defaults,
System Manager,sîstema Manager,
Title,Nav,
User Settings,Vebijarkên bikarhêner,
View Website,View Website,
Weekly,Heftane,
title,nav,
