Abbreviation,အကျဉ်း,
All,အားလုံး,
Attachment,attachment,
Backup Files,Backup ဖိုင်များ,
Backup Frequency,Backup ကိုကြိမ်နှုန်း,
Daily,နေ့စဉ်,
Description,ဖေါ်ပြချက်,
File Type,ဖိုင်အမျိုးအစား,
Is Folder,Folder ကို Is,
Keyboard Shortcuts,keyboard Shortcuts,
Left,လက်ဝဲဘက်,
Old Parent,စာဟောငျးမိဘ,
Reference DocName,ကိုးကားစရာ DOCNAME,
Reference DocType,ကိုးကားစရာ DOCTYPE,
Reload,Reload ကို,
Right,မှန်သော,
Secret,လျှို့ဝှက်ချက်,
Send Email for Successful Backup,အောင်မြင်သော Backup ကိုများအတွက်အီးမေးလ်ပို့ပါ,
Send Notifications To,ရန်အသိပေးချက်များ Send,
Session Defaults,session Defaults ကို,
System Manager,system Manager က,
Title,ဘှဲ့,
User Settings,အသုံးပြုသူကိုဆက်တင်,
View Website,view ဝက်ဘ်ဆိုက်,
Weekly,ရက်သတ္တပတ်တကြိမ်ဖြစ်သော,
title,ခေါင်းစဥ်,
