Abbreviation,Forkortelse,
All,Alle,
Attachment,Vedhæftet,
Backup Files,Sikkerhedskopier filer,
Backup Frequency,Hyppighed af sikkerhedskopier,
Daily,Daglig,
Description,Beskrivelse,
File Type,Filtype,
Is Folder,Er Mappe,
Keyboard Shortcuts,Tastaturgenveje,
Left,Venstre,
Old Parent,Gammel Parent,
Reference DocName,Reference DocName,
Reference DocType,Reference DocType,
Reload,Genindlæs,
Right,Højre,
Secret,Hemmelighed,
Send Email for Successful Backup,Send e-mail til succesfuld backup,
Send Notifications To,Send meddelelser til,
Session Defaults,Standard for session,
System Manager,System Manager,
Title,Titel,
User Settings,Brugerindstillinger,
View Website,Se hjemmeside,
Weekly,Ugentlig,
title,titel,
