Abbreviation,Abreviatura,
All,Tots,
Attachment,Accessori,
Backup Files,Fitxers de còpia de seguretat,
Backup Frequency,Freqüència de còpia de seguretat,
Daily,Diari,
Description,Descripció,
File Type,Tipus d&#39;arxiu,
Is Folder,És Carpeta,
Keyboard Shortcuts,Dreceres de teclat,
Left,Esquerra,
Old Parent,Antic Pare,
Reference DocName,DocName de referència,
Reference DocType,DocType de referència,
Reload,Recarregar,
Right,Dreta,
Secret,Secret,
Send Email for Successful Backup,Envia un correu electrònic per obtenir una còpia de seguretat satisfactòria,
Send Notifications To,Enviar notificacions a,
Session Defaults,Defectes predeterminats de la sessió,
System Manager,Administrador del sistema,
Title,Títol,
User Settings,Configuració de l’usuari,
View Website,Veure Lloc Web,
Weekly,Setmanal,
title,títol,
