Abbreviation,Аббревиатура,
About,О системе,
All,Все,
Attachment,Вложение,
Backup Files,Резервные файлы,
Backup Frequency,Частота резервного копирования,
Daily,Ежедневно,
Description,Описание,
File Type,Тип файла,
Is Folder,Это папка,
Keyboard Shortcuts,Горячие клавиши,
Left,Слева,
Old Parent,Старый родительский,
Reference DocName,Ссылка DocName,
Reference DocType,Ссылка DocType,
Reload,Обновить страницу,
Right,Справа,
Secret,Секрет,
Send Email for Successful Backup,Отправить письмо для успешного резервного копирования,
Send Notifications To,Отправлять уведомления,
Session Defaults,Сеансы по умолчанию,
System Manager,Менеджер системы,
Title,Заголовок,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
User Settings,Пользовательские настройки,
View Website,Посмотреть сайт,
Weekly,Еженедельно,
title,название,
