Abbreviation,Afkorting,
All,Allemaal,
Attachment,Gehechtheid,
Backup Files,Backup bestanden,
Backup Frequency,Backup Frequentie,
Daily,Dagelijks,
Description,Beschrijving,
File Type,Bestandstype,
Is Folder,Is Folder,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Left,Links,
Old Parent,Oude Parent,
Reference DocName,Referentie DocName,
Reference DocType,Referentie DocType,
Reload,Herladen,
Right,Rechts,
Secret,Geheim,
Send Email for Successful Backup,Stuur een e-mail voor een succesvolle back-up,
Send Notifications To,Verzend Notificaties naar,
Session Defaults,Standaardwaarden sessie,
System Manager,System Manager,
Title,Titel,
User Settings,Gebruikersinstellingen,
View Website,Bekijk Website,
Weekly,Wekelijks,
title,titel,
