Abbreviation,Skraćenica,
About,O,
All,Sve,
Apps,Aplikacije,
Attachment,Vezanost,
Backup Files,Datoteke sigurnosne kopije,
Backup Frequency,Učestalost sigurnosnih kopija,
Daily,Dnevno,
Description,Opis,
File Type,Vrsta datoteke,
Frappe Support,Frappe podrška,
Is Folder,Je skica,
Keyboard Shortcuts,Prečice na tastaturi,
Left,Lijevo,
Log out,Odjava,
Old Parent,Stari Nadređeni,
Reference DocName,Referentni naziv dokumenta,
Reference DocType,Referentni DocType,
Reload,Ponovo učitaj,
Right,Desno,
Secret,Tajna,
Send Email for Successful Backup,Pošalji e-poštu za uspješno sigurnosno kopiranje,
Send Notifications To,Pošalji obavještenja na,
Session Defaults,Sesije zadano,
System Manager,Upravitelj Sistema,
Title,Naziv,
Toggle Full Width,Prebaci punu širinu,
Toggle Theme,Prebaci temu,
User Settings,Korisničke postavke,
View Website,Pogledaj web stranicu,
Weekly,Sedmično,
title,naslov,
