Abbreviation,சுருக்கமான,
All,எல்லாம்,
Attachment,இணைப்பு,
Backup Files,காப்பு கோப்புகள்,
Backup Frequency,காப்பு அதிர்வெண்,
Daily,தினசரி,
Description,விளக்கம்,
File Type,கோப்பு வகை,
Is Folder,அடைவு,
Keyboard Shortcuts,விசைப்பலகை குறுக்குவழிகள்,
Left,விட்டு,
Old Parent,பழைய பெற்றோர்,
Reference DocName,குறிப்பு DocName,
Reference DocType,குறிப்பு டாக் டைப்,
Reload,Reload,
Right,சரியான,
Secret,இரகசிய,
Send Email for Successful Backup,வெற்றிகரமான காப்புப்பிரதிக்கு மின்னஞ்சல் அனுப்பவும்,
Send Notifications To,அறிவிப்புகளை அனுப்பவும்,
Session Defaults,அமர்வு இயல்புநிலைகள்,
System Manager,கணினி மேலாளர்,
Title,தலைப்பு,
User Settings,பயனர் அமைப்புகள்,
View Website,இணையத்தளம் பார்வையிட,
Weekly,வாரந்தோறும்,
title,தலைப்பு,
