Abbreviation,약어,
All,모두,
Attachment,첨부,
Backup Files,백업 파일,
Backup Frequency,백업 주파수,
Daily,매일,
Description,내용,
File Type,파일 형식,
Is Folder,폴더입니다,
Keyboard Shortcuts,키보드 단축키,
Left,왼쪽,
Old Parent,이전 부모,
Reference DocName,DocName 참조,
Reference DocType,참조 DocType,
Reload,다시로드,
Right,오른쪽,
Secret,비밀,
Send Email for Successful Backup,성공적인 백업을 위해 이메일 보내기,
Send Notifications To,알림을 보내기,
Session Defaults,세션 기본값,
System Manager,시스템 관리자,
Title,제목,
User Settings,사용자 설정,
View Website,웹 사이트보기,
Weekly,주l,
title,표제,
