Abbreviation,Forkortelse,
All,Alle,
Attachment,Vedlegg,
Backup Files,Backup filer,
Backup Frequency,backup Frequency,
Daily,Daglig,
Description,Beskrivelse,
File Type,Filtype,
Is Folder,Er Folder,
Keyboard Shortcuts,Tastatursnarveier,
Left,Venstre,
Old Parent,Gammel Parent,
Reference DocName,Referanse DocName,
Reference DocType,Referanse DocType,
Reload,Last,
Right,Rett,
Secret,Hemmelig,
Send Email for Successful Backup,Send e-post for vellykket sikkerhetskopiering,
Send Notifications To,Send varsler til,
Session Defaults,Økt mislighold,
System Manager,System Manager,
Title,Tittel,
User Settings,Brukerinstillinger,
View Website,Vis nettstedet,
Weekly,Ukentlig,
title,tittel,
