Abbreviation,Skraćenica,
About,O,
All,svi,
Attachment,Vezanost,
Backup Files,Sigurnosne kopije datoteka,
Backup Frequency,Backup Frequency,
Daily,Svakodnevno,
Description,Opis,
File Type,Vrsta datoteke,
Is Folder,Je mape,
Keyboard Shortcuts,Prečice na tipkovnici,
Left,Lijevo,
Old Parent,Stari Roditelj,
Reference DocName,Reference DocName,
Reference DocType,Referentni DocType,
Reload,Reload,
Right,Desno,
Secret,Tajna,
Send Email for Successful Backup,Pošalji e-poštu za uspješnu sigurnosnu kopiju,
Send Notifications To,Slanje obavijesti,
Session Defaults,Zadani zadaci sesije,
System Manager,Sustav Manager,
Title,Naslov,
User Settings,Korisničke postavke,
View Website,Pogledaj web stranicu,
Weekly,Tjedni,
title,titula,
