Abbreviation,اسم مختصر,
All,الكل,
Attachment,مرفق,
Backup Files,ملفات النسخ الاحتياطي,
Backup Frequency,معدل النسخ الاحتياطي,
Daily,يوميا,
Description,وصف,
File Type,نوع الملف,
Is Folder,هو مجلد,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Left,ترك,
Old Parent,الحساب الأب السابق,
Reference DocName,مرجع DocName,
Reference DocType,مرجع DOCTYPE,
Reload,تحديث,
Right,حق,
Secret,سر,
Send Email for Successful Backup,إرسال بريد إلكتروني للنجاح النسخ الاحتياطي,
Send Notifications To,إرسال إشعارات إلى,
Session Defaults,الجلسة الافتراضية,
System Manager,مدير النظام,
Title,اللقب,
View Website,مشاهدة الموقع,
Weekly,الأسبوعية,
title,عنوان,
