Abbreviation,Hali,
All,ZOTE,
Attachment,Kiambatisho,
Backup Files,Faili chelezo,
Backup Frequency,Frequency Backup,
Daily,Kila siku,
Description,Maelezo,
File Type,Aina ya Faili,
Is Folder,"Je, ni Folda",
Keyboard Shortcuts,Njia za mkato za kibodi,
Left,Kushoto,
Old Parent,Mzazi wa Kale,
Reference DocName,Rejea DocName,
Reference DocType,Aina ya Hati ya Marejeo,
Reload,Pakia tena,
Right,Haki,
Secret,Siri,
Send Email for Successful Backup,Tuma Barua pepe ya Backup Mafanikio,
Send Notifications To,Tuma Arifa Kwa,
Session Defaults,Defavers ya Kikao,
System Manager,Meneja wa Mfumo,
Title,Kichwa,
User Settings,Mipangilio ya Watumiaji,
View Website,Tazama Tovuti,
Weekly,Kila wiki,
title,kichwa,
