Abbreviation,Amagambo ahinnye,
All,Byose,
Attachment,Umugereka,
Backup Files,Ububiko bwa dosiye,
Backup Frequency,Ibikurikira,
Daily,Buri munsi,
Description,Ibisobanuro,
File Type,Ubwoko bwa dosiye,
Is Folder,Nububiko,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Left,Ibumoso,
Old Parent,Umubyeyi ushaje,
Reference DocName,Reba izina,
Reference DocType,Reba Inyandiko,
Reload,Ongera usubiremo,
Right,Iburyo,
Secret,Ibanga,
Send Email for Successful Backup,Kohereza imeri kugirango ubike neza,
Send Notifications To,Kohereza Amatangazo Kuri,
Session Defaults,Isomo risanzwe,
System Manager,Umuyobozi wa sisitemu,
Title,Umutwe,
User Settings,Igenamiterere ry&#39;abakoresha,
View Website,Reba Urubuga,
Weekly,Buri cyumweru,
title,Umutwe,
