Abbreviation,Saīsinājums,
All,Visi,
Attachment,Pieķeršanās,
Backup Files,Dublēšanas faili,
Backup Frequency,Backup Frequency,
Daily,Katru dienu,
Description,Apraksts,
File Type,Faila tips,
Is Folder,Vai Folder,
Keyboard Shortcuts,Tastatūras īsceļi,
Left,Kreisais,
Old Parent,Old Parent,
Reference DocName,Atsauce DocName,
Reference DocType,Atsauce DocType,
Reload,Pārlādēt,
Right,Tiesības,
Secret,Noslēpums,
Send Email for Successful Backup,Sūtīt e-pastu veiksmīgai dublēšanai,
Send Notifications To,Nosūtīt paziņojumus,
Session Defaults,Sesijas noklusējumi,
System Manager,System Manager,
Title,Virsraksts,
User Settings,Lietotāja iestatījumi,
View Website,Skatīt Website,
Weekly,Nedēļas,
title,nosaukums,
