Abbreviation,Abréviation,
About,A Propos,
All,Tout,
Attachment,Pièce jointe,
Backup Files,Fichiers de sauvegarde,
Backup Frequency,Fréquence de Sauvegarde,
Daily,Quotidien,
Description,Description,
File Type,Type de fichier,
Is Folder,Est un Dossier,
Keyboard Shortcuts,Raccourcis clavier,
Left,Parti,
Old Parent,Grand Parent,
Reference DocName,Référence DocName,
Reference DocType,Référence DocType,
Reload,Recharger,
Right,Droit,
Secret,Secret,
Send Email for Successful Backup,Envoyer un email pour une sauvegarde réussie,
Send Notifications To,Envoyer des Notifications À,
Session Defaults,Session par défaut,
System Manager,Responsable Système,
Title,Titre,
Toggle Full Width,Changer l&#39;affichage en pleine largeur,
Toggle Theme,Basculer le thème,
View Website,Voir Le Site Web,
Weekly,Hebdomadaire,
title,Titre,
