Abbreviation,skammstöfun,
All,Allt,
Attachment,viðhengi,
Backup Files,Afritunarskrár,
Backup Frequency,Backup Tíðni,
Daily,Daily,
Description,Lýsing,
File Type,Tegund skráar,
Is Folder,er Folder,
Keyboard Shortcuts,Flýtilyklar,
Left,vinstri,
Old Parent,Old Parent,
Reference DocName,Tilvísun DocName,
Reference DocType,Tilvísun DocType,
Reload,endurhlaða,
Right,Hægri,
Secret,Leyndarmál,
Send Email for Successful Backup,Senda tölvupóst til að ná árangri,
Send Notifications To,Senda tilkynningar til,
Session Defaults,Sjálfgefin seta,
System Manager,System Manager,
Title,Title,
User Settings,Notandastillingar,
View Website,view Website,
Weekly,Vikuleg,
title,titill,
