Abbreviation,කෙටි යෙදුම්,
All,සෑම,
Attachment,ඇමුණුම්,
Backup Files,උපස්ථ ගොනු,
Backup Frequency,උපස්ථ සංඛ්යාත,
Daily,දිනපතා,
Description,විස්තර,
File Type,ගොනු වර්ගය,
Is Folder,ෆෝල්ඩරය වේ,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Left,වම්,
Old Parent,පරණ මාපිය,
Reference DocName,විමර්ශන ඩොක් නාමය,
Reference DocType,යොමු ලේඛනය,
Reload,රීලෝඩ්,
Right,අයිතිය,
Secret,රහස,
Send Email for Successful Backup,සාර්ථක Backup සඳහා ඊ-තැපෑල යවන්න,
Send Notifications To,කිරීම සඳහා නිෙව්දන යවන්න,
Session Defaults,සැසි පෙරනිමි,
System Manager,පද්ධතිය කළමනාකරු,
Title,ශීර්ෂය,
User Settings,පරිශීලක සැකසුම්,
View Website,දැක්ම වෙබ් අඩවිය,
Weekly,සතිපතා,
title,ශීර්ෂය,
