Abbreviation,संक्षिप्त,
All,सब,
Attachment,आसक्ति,
Backup Files,बैकअप फ़ाइलें,
Backup Frequency,बैकअप आवृत्ति,
Daily,दैनिक,
Description,विवरण,
File Type,फाइल का प्रकार,
Is Folder,फ़ोल्डर है,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Left,वाम,
Old Parent,पुरानी माता - पिता,
Reference DocName,संदर्भ DocName,
Reference DocType,संदर्भ DocType,
Reload,सीमा से अधिक लादना,
Right,सही,
Secret,गुप्त,
Send Email for Successful Backup,सफल बैकअप के लिए ईमेल भेजें,
Send Notifications To,करने के लिए सूचनाएं भेजें,
Session Defaults,सत्र चूक,
System Manager,सिस्टम प्रबंधक,
Title,शीर्षक,
User Settings,उपयोगकर्ता सेटिंग,
View Website,वेबसाइट देखें,
Weekly,साप्ताहिक,
title,शीर्षक,
