Abbreviation,Abbreviazione,
All,Tutti,
Attachment,Allegato,
Backup Files,File di backup,
Backup Frequency,Frequenza di backup,
Daily,Giornaliero,
Description,Descrizione,
File Type,Tipo di file,
Is Folder,È Cartella,
Keyboard Shortcuts,Tasti rapidi,
Left,Sinistra,
Old Parent,Vecchio genitore,
Reference DocName,Riferimento DocName,
Reference DocType,Riferimento DocType,
Reload,Aggiorna,
Right,Giusto,
Secret,Segreto,
Send Email for Successful Backup,Invia e-mail per il backup riuscito,
Send Notifications To,Inviare notifiche ai,
Session Defaults,Sessioni predefinite,
System Manager,System Manager,
Title,Titolo,
User Settings,Impostazioni utente,
View Website,Visualizza sito web,
Weekly,Settimanale,
title,titolo,
