Abbreviation,ຊື່ຫຍໍ້,
All,ທັງ ໝົດ,
Attachment,Attachment,
Backup Files,ແຟ້ມ ສຳ ຮອງ,
Backup Frequency,ຄວາມຖີ່ Backup,
Daily,ປະຈໍາວັນ,
Description,ລາຍລະອຽດ,
File Type,ປະເພດໄຟລ໌,
Is Folder,ແມ່ນ Folder,
Keyboard Shortcuts,ຄີບອດ,
Left,ໄວ້,
Old Parent,ພໍ່ແມ່ເກົ່າ,
Reference DocName,Reference DocName,
Reference DocType,ເອກະສານອ້າງອີງ DocType,
Reload,ໂຫລດ,
Right,ສິດ,
Secret,Secret,
Send Email for Successful Backup,ສົ່ງອີເມວສໍາລັບການສໍາຮອງຂໍ້ມູນທີ່ປະສົບຜົນສໍາເລັດ,
Send Notifications To,ສົ່ງການແຈ້ງເຕືອນໄປ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
System Manager,ຈັດການລະບົບ,
Title,Title,
User Settings,ການຕັ້ງຄ່າຜູ້ໃຊ້,
View Website,ເບິ່ງເວັບໄຊທ໌,
Weekly,ປະຈໍາອາທິດ,
title,ຫົວຂໍ້,
