Abbreviation,Shkurtim,
All,ALL,
Attachment,Attachment,
Backup Files,Skedarët rezervë,
Backup Frequency,Frekuenca backup,
Daily,I përditshëm,
Description,Përshkrim,
File Type,Lloji i skedarit,
Is Folder,Është Folder,
Keyboard Shortcuts,Shkurtoret e tastierës,
Left,Majtas,
Old Parent,Vjetër Parent,
Reference DocName,Referenca DocName,
Reference DocType,Doktipi i referencës,
Reload,Rifresko,
Right,E drejtë,
Secret,sekret,
Send Email for Successful Backup,Dërgo Email për Backup të suksesshëm,
Send Notifications To,Dërgo Lajmërimet Për,
Session Defaults,Default Seanca,
System Manager,Sistemi Menaxher,
Title,titull,
User Settings,Cilësimet e përdoruesit,
View Website,Shikoni faqen e internetit,
Weekly,Javor,
title,Titull,
