Abbreviation,Kratica,
All,Vse,
Attachment,Attachment,
Backup Files,Varnostne datoteke,
Backup Frequency,backup Frequency,
Daily,Dnevno,
Description,Opis,
File Type,Vrsta datoteke,
Is Folder,Je Folder,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Left,Levo,
Old Parent,Stara Parent,
Reference DocName,Reference DocName,
Reference DocType,Referenčni DocType,
Reload,Osveži,
Right,Prav,
Secret,Skrivnost,
Send Email for Successful Backup,Pošlji e-pošto za uspešno varnostno kopiranje,
Send Notifications To,Pošiljanje obvestil,
Session Defaults,Privzete seje,
System Manager,System Manager,
Title,Naziv,
User Settings,Uporabniške nastavitve,
View Website,View Website,
Weekly,Tedenski,
title,naslov,
