17-Read Only,17-Solo Lectura,
31-Upload and Edit,31-Subida y Edición,
4-Upload Only,4-Subida Unicamente,
Abbreviation,Abreviatura,
About,Acerca de,
All,Todos,
Apps,Apps,
Attachment,Adjunto,
Attachment Item,Ficheros Controlados,
Backup Files,Archivos de respaldo,
Backup Frequency,Frecuencia de copia de seguridad,
Backup public and private files along with the database and site config,"Respaldo con base de datos, archivos públicos, privados y site_config.json",
Create NC Folder,Crear Carpeta NC,
Daily,Diario,
Description,Descripción,
DocType Selection,Selección de DocTypes,
Docs Controller,Control Documentacion,
Docs User,Usuario Documentacion,
Enable NextCloud,Activa NextCloud,
"Exact DocType Name wihout quotes, whithout spaces and separated by comma (i.e. Sales Invoice,Purchase Order)",Nombre de DocType Exacto sin espacios y separado por comas,
File Category,Categoría Archivado,
File Type,Tipo de Archivo,
Filename,Nombre Archivo,
Folder Path,Ruta de Carpeta,
Folder Set,Plantillas Carpetas,
Frappe Support,Soporte de Frappe,
Inclusions,Inclusiones,
Is Folder,Es Carpeta,
Keyboard Shortcuts,Atajos de teclado,
Left,Inactivo/Fuera,
Log out,Cerrar sesión,
NC Doctypes Excluded,DocTypes Excluidos de NC,
NC Doctypes Included,DocTypes incluidos para NC,
NC Enable,Activa NC,
NC File List,Lista Archivos NC,
NC File Upload,Subir Archivos a NC,
NC Folder,Carpeta NC,
NC Folder Creation,Creación de Carpetas en NC,
NC Folder Internal Link,Enlace Interno Carpeta NC,
NC Folder Link,Enlace Carpeta NC,
NC Folder Share Link,Enlace Compartido Carpeta NC,
NC Path,Ruta NC,
NC Private Link,Enlace privado NC,
NC Share Link,Enlace Compartido NC,
NextCloud Credentials,Credenciales NextCloud,
NextCloud Settings,Ajustes NextCloud,
Old Parent,Antiguo Padre,
Only one recipient can be provided,Solo se puede proporcionar un destinatario,
Reference DocName,DocName de referencia,
Reference DocType,DocType de referencia,
Reload,Recargar,
Right,derecho,
Secret,Clave,
Select NC Folder,Elige Carpeta NC,
Send Email for Successful Backup,Enviar correo electrónico para una copia de seguridad exitosa,
Send Notifications To,Enviar notificaciones a,
Session Defaults,Valores predeterminados de sesión,
Settings Section,Sección de Ajustes,
Share Link,Enlace Compartido,
Sharing Option,Opción Compartir,
System Manager,Administrador del sistema,
Title,Nombre,
Toggle Full Width,Alterna Vista Completa,
Toggle Theme,Cambiar tema,
Uploaded To NC,Subido a NC,
Uploaded To NextCloud,Subido a NextCloud,
User Settings,Configuración del Usuario,
Vendor,Proveedor,
View Website,Ver Sitio Web,
Weekly,Semanal,
title,título,
