Abbreviation,સંક્ષેપનો,
All,બધા,
Attachment,જોડાણ,
Backup Files,બેકઅપ ફાઇલો,
Backup Frequency,બેકઅપ આવર્તન,
Daily,દૈનિક,
Description,વર્ણન,
File Type,ફાઇલ પ્રકાર,
Is Folder,ફોલ્ડર છે,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Left,ડાબે,
Old Parent,ઓલ્ડ પિતૃ,
Reference DocName,સંદર્ભ ડોકનામ,
Reference DocType,સંદર્ભ ડોકટાઇપ,
Reload,ફરી લાવો,
Right,અધિકાર,
Secret,સિક્રેટ,
Send Email for Successful Backup,સફળ બેકઅપ માટે ઇમેઇલ મોકલો,
Send Notifications To,સૂચના મોકલો,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Title,શીર્ષક,
User Settings,વપરાશકર્તા સેટિંગ્સ,
View Website,વેબસાઇટ જુઓ,
Weekly,અઠવાડિક,
title,શીર્ષક,
