Abbreviation,Qisqartirish,
All,HAMMA,
Attachment,Qo&#39;shimcha,
Backup Files,Zaxira fayllari,
Backup Frequency,Zaxiralash chastotasi,
Daily,Kundalik,
Description,Ta&#39;rif,
File Type,Fayl turi,
Is Folder,Folder,
Keyboard Shortcuts,Klaviatura yorliqlari,
Left,Chapdan,
Old Parent,Eski ota-ona,
Reference DocName,Yo&#39;naltirilgan DocName,
Reference DocType,DocType ma&#39;lumotnomasi,
Reload,Qayta yuklash,
Right,To&#39;g&#39;ri,
Secret,Yashirin,
Send Email for Successful Backup,Muvaffaqiyatli zahira uchun elektron pochta xabarini yuboring,
Send Notifications To,Bildirishnomalarni yuborish,
Session Defaults,Sessiya standartlari,
System Manager,Tizim menejeri,
Title,Sarlavha,
User Settings,Foydalanuvchi sozlamalari,
View Website,Veb-saytni ko&#39;rish,
Weekly,Haftalik,
title,sarlavha,
