Abbreviation,Rút gọn,
All,Tất cả,
Attachment,Đính kèm,
Backup Files,Tập tin sao lưu,
Backup Frequency,Tần số sao lưu,
Daily,Hàng ngày,
Description,Mô tả,
File Type,Loại tệp,
Is Folder,Là thư mục,
Keyboard Shortcuts,Các phím tắt bàn phím,
Left,Trái,
Old Parent,Cũ Chánh,
Reference DocName,Tài liệu tham khảo,
Reference DocType,Tham khảo DocType,
Reload,Nạp lại,
Right,Được rồi.,
Secret,Bí mật,
Send Email for Successful Backup,Gửi email để sao lưu thành công,
Send Notifications To,Gửi thông báo để,
Session Defaults,Mặc định phiên,
System Manager,Hệ thống quản lý,
Title,Tiêu đề,
User Settings,Thiết lập người dùng,
View Website,Xem trang web,
Weekly,Hàng tuần,
title,tiêu đề,
