Abbreviation,ಸಂಕ್ಷೇಪಣ,
All,ಎಲ್ಲಾ,
Attachment,ಲಗತ್ತು,
Backup Files,ಫೈಲ್‌ಗಳನ್ನು ಬ್ಯಾಕಪ್ ಮಾಡಿ,
Backup Frequency,ಬ್ಯಾಕಪ್ ಆವರ್ತನ,
Daily,ಪ್ರತಿದಿನ,
Description,ವಿವರಣೆ,
File Type,ಕಡತದ ವರ್ಗ,
Is Folder,ಫೋಲ್ಡರ್,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Left,ಎಡ,
Old Parent,ಓಲ್ಡ್ ಪೋಷಕ,
Reference DocName,ರೆಫರೆನ್ಸ್ ಡಾಕ್ ಹೆಸರು,
Reference DocType,ಉಲ್ಲೇಖ ಡಾಕ್ಟೈಪ್,
Reload,ರೀಲೋಡ್,
Right,ರೈಟ್,
Secret,ಸೀಕ್ರೆಟ್,
Send Email for Successful Backup,ಯಶಸ್ವಿ ಬ್ಯಾಕಪ್ಗಾಗಿ ಇಮೇಲ್ ಕಳುಹಿಸಿ,
Send Notifications To,ಅಧಿಸೂಚನೆಗಳನ್ನು ಕಳುಹಿಸಿ,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Title,ಶೀರ್ಷಿಕೆ,
User Settings,ಬಳಕೆದಾರರ ಸೆಟ್ಟಿಂಗ್‌ಗಳು,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
Weekly,ವಾರದ,
title,ಶೀರ್ಷಿಕೆ,
