Abbreviation,Кратенка,
All,Сите,
Attachment,Прилог,
Backup Files,Датотеки за резервна копија,
Backup Frequency,Резервна копија на фреквенција,
Daily,Секојдневно,
Description,Опис,
File Type,Тип на датотека,
Is Folder,Е папка,
Keyboard Shortcuts,Кратенки на тастатурата,
Left,Лево,
Old Parent,Стариот Родител,
Reference DocName,Референтен DocName,
Reference DocType,Референтен DocType,
Reload,Вчитај ја страната повторно,
Right,Право,
Secret,Тајна,
Send Email for Successful Backup,Испрати е-пошта за успешна резервна копија,
Send Notifications To,Доставуваат известувања до,
Session Defaults,Сесија стандардно,
System Manager,Систем за менаџер,
Title,Наслов,
User Settings,Кориснички поставки,
View Website,Преглед на веб-страница,
Weekly,Неделен,
title,Наслов,
