Abbreviation,Скорочення,
All,ВСІ,
Attachment,Долучення,
Backup Files,Резервні файли,
Backup Frequency,Резервне копіювання частоти,
Daily,Щодня,
Description,Опис,
File Type,Тип файлу,
Is Folder,є текою,
Keyboard Shortcuts,Гарячі клавіши,
Left,Зліва,
Old Parent,Старий Батько,
Reference DocName,Посилання на DocName,
Reference DocType,Довідковий тип DocType,
Reload,Оновити,
Right,Право,
Secret,Таємно,
Send Email for Successful Backup,Надіслати електронну пошту для успішного резервного копіювання,
Send Notifications To,Включити повідомлення,
Session Defaults,За замовчуванням сесії,
System Manager,Менеджер системи,
Title,Назва,
User Settings,Налаштування користувача,
View Website,Подивитися веб-сайт,
Weekly,Щотижня,
title,заголовок,
