Abbreviation,Singkatan,
All,Semua,
Attachment,Lampiran,
Backup Files,Fail Sandaran,
Backup Frequency,Kekerapan Backup,
Daily,Daily,
Description,Penerangan,
File Type,Jenis fail,
Is Folder,Adakah Folder,
Keyboard Shortcuts,Pintasan papan kekunci,
Left,Kiri,
Old Parent,Old Ibu Bapa,
Reference DocName,Dokumen Rujukan,
Reference DocType,Jenis Dokumen Rujukan,
Reload,Muat semula,
Right,Hak,
Secret,Rahsia,
Send Email for Successful Backup,Hantar E-mel untuk Sandaran yang Berjaya,
Send Notifications To,Hantar Pemberitahuan Untuk,
Session Defaults,Default Sesi,
System Manager,Pengurus Sistem,
Title,Tajuk,
User Settings,Tetapan Pengguna,
View Website,Lihat Laman Web,
Weekly,Mingguan,
title,tajuk,
