Abbreviation,مخفف,
All,سب,
Attachment,منسلکہ,
Backup Files,بیک اپ فائلیں,
Backup Frequency,بیک اپ فریکوئینسی,
Daily,ڈیلی,
Description,تفصیل,
File Type,فائل کی قسم,
Is Folder,فولڈر ہے,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Left,بائیں,
Old Parent,پرانا والدین,
Reference DocName,حوالہ DocName,
Reference DocType,حوالہ ڈاکٹائپ,
Reload,دوبارہ,
Right,دائیں,
Secret,خفیہ,
Send Email for Successful Backup,کامیاب بیک اپ کے لئے ای میل بھیجیں,
Send Notifications To,کو اطلاعات بھیجیں,
Session Defaults,سیشن ڈیفالٹس,
System Manager,سسٹم مینیجر,
Title,عنوان,
User Settings,صارف کی ترتیبات۔,
View Website,سائٹ,
Weekly,ہفتہ وار,
title,عنوان,
