Abbreviation,ማላጠር,
All,ሁሉም,
Attachment,አባሪ,
Backup Files,ምትኬ ፋይሎች,
Backup Frequency,ምትኬ ድግግሞሽ,
Daily,በየቀኑ,
Description,መግለጫ,
File Type,የፋይል ዓይነት,
Is Folder,አቃፊ ነው,
Keyboard Shortcuts,የቁልፍ ሰሌዳ አቋራጮች።,
Left,ግራ,
Old Parent,የድሮ ወላጅ,
Reference DocName,የማመሳከሪያ DocName,
Reference DocType,የማጣቀሻ ሰነድ ዓይነት,
Reload,ዳግም ጫን,
Right,ቀኝ,
Secret,ምስጢር,
Send Email for Successful Backup,ለስኬታማ ምትኬ ኢሜይል መላክን,
Send Notifications To,ወደ ማሳወቂያዎች ላክ,
Session Defaults,የክፍለ ጊዜ ነባሪዎች።,
System Manager,የስርዓት አስተዳዳሪ,
Title,አርእስት,
User Settings,የተጠቃሚ ቅንብሮች።,
View Website,ይመልከቱ ድር ጣቢያ,
Weekly,ሳምንታዊ,
title,ርዕስ,
