Abbreviation,Lühend,
All,Kõik,
Attachment,Attachment,
Backup Files,Varukoopiad,
Backup Frequency,backup Frequency,
Daily,Iga päev,
Description,Kirjeldus,
File Type,Faili tüüp,
Is Folder,Kas Folder,
Keyboard Shortcuts,Klaviatuuri otseteed,
Left,Vasakule,
Old Parent,Vana Parent,
Reference DocName,Viide DocName,
Reference DocType,Viide DocType,
Reload,Reload,
Right,Õigus,
Secret,Saladus,
Send Email for Successful Backup,Saada eduka varundamise e-kiri,
Send Notifications To,Saada teateid,
Session Defaults,Seansi vaikeväärtused,
System Manager,Süsteemihaldur,
Title,Pealkiri,
User Settings,Kasutaja seaded,
View Website,Vaata Koduleht,
Weekly,Weekly,
title,pealkiri,
