Abbreviation,সংক্ষেপ,
All,সব,
Attachment,ক্রোক,
Backup Files,ব্যাকআপ ফাইল,
Backup Frequency,ব্যাকআপ ফ্রিকোয়েন্সি,
Daily,দৈনিক,
Description,বিবরণ,
File Type,ফাইলের ধরন,
Is Folder,ফোল্ডার,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Left,বাম,
Old Parent,প্রাচীন মূল,
Reference DocName,রেফারেন্স ডকনাম,
Reference DocType,রেফারেন্স ডকটাইপ,
Reload,পুনরায় লোড করুন,
Right,ডান,
Secret,গোপন,
Send Email for Successful Backup,সফল ব্যাকআপ জন্য ইমেল পাঠান,
Send Notifications To,বিজ্ঞপ্তি পাঠান,
Session Defaults,সেশন ডিফল্ট,
System Manager,সিস্টেম ম্যানেজার,
Title,খেতাব,
User Settings,ব্যবহারকারীর সেটিংস,
View Website,ওয়েবসাইট দেখুন,
Weekly,সাপ্তাহিক,
title,শিরোনাম,
