Abbreviation,Скраћеница,
All,Све,
Attachment,Прилог,
Backup Files,Бекап фајлови,
Backup Frequency,бацкуп Фреквенција,
Daily,Дневно,
Description,Опис,
File Type,Тип фајла,
Is Folder,Да ли је Папка,
Keyboard Shortcuts,Пречице на тастатури,
Left,Лево,
Old Parent,Стари Родитељ,
Reference DocName,Референце ДоцНаме,
Reference DocType,Референца ДоцТипе,
Reload,Релоад,
Right,Право,
Secret,Тајна,
Send Email for Successful Backup,Пошаљите е-пошту за успјешно сигурносно копирање,
Send Notifications To,Слање обавештења,
Session Defaults,Задане поставке сесије,
System Manager,Систем менаџер,
Title,Наслов,
User Settings,Подешавања корисника,
View Website,Погледај Сајт,
Weekly,Недељни,
title,наслов,
