Abbreviation,Skrót,
All,Wszystko,
Attachment,Załącznik,
Backup Files,Kopia zapasowa,
Backup Frequency,Częstotliwość tworzenia kopii zapasowych,
Daily,Codziennie,
Description,Opis,
File Type,Typ pliku,
Is Folder,Czy Folder,
Keyboard Shortcuts,Skróty klawiszowe,
Left,Opuścił,
Old Parent,Stary obiekt nadrzędny,
Reference DocName,Referencyjna nazwa DocName,
Reference DocType,Odniesienie do DocType,
Reload,Przeładuj,
Right,Prawo,
Secret,Sekret,
Send Email for Successful Backup,Wyślij e-mail do udanej kopii zapasowej,
Send Notifications To,Wyślij Powiadomienia do,
Session Defaults,Domyślne ustawienia sesji,
System Manager,System Manager,
Title,Tytuł,
User Settings,Ustawienia użytkownika,
View Website,Zobacz stronę WWW,
Weekly,Tygodniowo,
title,tytuł,
