Abbreviation,Lyhenne,
All,Kaikki,
Attachment,Liite,
Backup Files,Varmuuskopiot,
Backup Frequency,Backup Frequency,
Daily,Päivittäinen,
Description,Kuvaus,
File Type,Tiedostotyyppi,
Is Folder,On Folder,
Keyboard Shortcuts,Pikanäppäimet,
Left,Ei työsuhteessa,
Old Parent,Vanha Parent,
Reference DocName,Viite DocName,
Reference DocType,Viite DocType,
Reload,Päivitä,
Right,oikea,
Secret,Salaisuus,
Send Email for Successful Backup,Lähetä onnistunut varmuuskopiointi sähköpostitse,
Send Notifications To,lähetä ilmoituksia,
Session Defaults,Istunnon oletukset,
System Manager,Järjestelmän ylläpitäjä,
Title,otsikko,
User Settings,Käyttäjäasetukset,
View Website,Näytä verkkosivusto,
Weekly,Viikoittain,
title,otsikko,
