Abbreviation,Скраћеница,
About,O Nama,
All,Svi,
Attachment,Prilog,
Backup Files,Бекап фајлови,
Backup Frequency,бацкуп Фреквенција,
Daily,Дневно,
Description,Opis,
File Type,Тип фајла,
Is Folder,Da li je Folder,
Keyboard Shortcuts,Пречице на тастатури,
Left,Лево,
Old Parent,Стари Родитељ,
Reference DocName,Референце ДоцНаме,
Reference DocType,Референца ДоцТипе,
Reload,Učitaj ponovo,
Right,Право,
Secret,Тајна,
Send Email for Successful Backup,Пошаљите е-пошту за успјешно сигурносно копирање,
Send Notifications To,Слање обавештења,
Session Defaults,Задане поставке сесије,
System Manager,Menadžer sistema,
Title,Naslov,
User Settings,Подешавања корисника,
View Website,Pogledaj sajt,
Weekly,Nedeljni,
title,наслов,
