Abbreviation,縮寫,
About,关于,
All,全部,
Apps,应用,
Attachment,附件,
Backup Files,备份文件,
Backup Frequency,备份频率,
Daily,每日,
Description,描述,
File Type,文件类型,
Frappe Support,Frappe支持,
Is Folder,是否为文件夹,
Keyboard Shortcuts,键盘快捷键,
Left,左对齐,
Log out,注销,
Old Parent,舊上級,
Reference DocName,参考文档名称,
Reference DocType,参考文档类型,
Reload,重新加载,
Right,右,
Secret,秘密,
Send Email for Successful Backup,备份成功后发送邮件,
Send Notifications To,发送通知至,
Session Defaults,会话默认值,
System Manager,系统管理员,
Title,标题,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
User Settings,用户设置,
View Website,查看网站,
Weekly,每周,
title,标题,
