Abbreviation,略語,
All,すべて,
Attachment,添付,
Backup Files,バックアップファイル,
Backup Frequency,バックアップ頻度,
Daily,日次,
Description,説明,
File Type,ファイルの種類,
Is Folder,フォルダ,
Keyboard Shortcuts,キーボードショートカット,
Left,退職,
Old Parent,古い親,
Reference DocName,参照DocName,
Reference DocType,参照DocType,
Reload,リロード,
Right,右,
Secret,秘密,
Send Email for Successful Backup,正常なバックアップのためにEメールを送信する,
Send Notifications To,通知送信先,
Session Defaults,セッションのデフォルト,
System Manager,システム管理者,
Title,タイトル,
User Settings,ユーザー設定,
View Website,ウェブサイトを見る,
Weekly,毎週,
title,題名,
