Abbreviation,Abreviere,
All,Toate,
Attachment,Atașament,
Backup Files,Fișiere de rezervă,
Backup Frequency,Frecvența de backup,
Daily,Zilnic,
Description,Descriere,
File Type,Tip fișier,
Is Folder,Este Folder,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Left,Stânga,
Old Parent,Vechi mamă,
Reference DocName,Referință DocName,
Reference DocType,DocType de referință,
Reload,Reîncarcă,
Right,Dreapta,
Secret,Secret,
Send Email for Successful Backup,Trimiteți un e-mail pentru copierea de rezervă reușită,
Send Notifications To,Trimite notificări,
Session Defaults,Valorile implicite ale sesiunii,
System Manager,System Manager,
Title,Titlu,
User Settings,Setarile utilizatorului,
View Website,Vezi site-ul,
Weekly,Săptămânal,
title,titlu,
