Abbreviation,קיצור,
All,כל,
Attachment,קובץ מצורף,
Backup Files,קבצי גיבוי,
Backup Frequency,תדירות הגיבוי,
Daily,יומי,
Description,תיאור,
File Type,סוג קובץ,
Is Folder,האם תיקייה,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Left,עזב,
Old Parent,האם ישן,
Reference DocName,הפניה ל- DocName,
Reference DocType,הפניה ל- DocType,
Reload,רענן,
Right,תקין,
Secret,סוֹד,
Send Email for Successful Backup,שלח דוא&quot;ל לצורך גיבוי מוצלח,
Send Notifications To,לשלוח הודעות ל,
Session Defaults,ברירות מחדל של מושב,
System Manager,מנהל מערכת,
Title,כותרת,
User Settings,הגדרות משתמש,
View Website,אתר צפה ב,
Weekly,שבועי,
title,כותרת,
