Abbreviation,Абревиатура,
All,всичко,
Attachment,Приложен файл,
Backup Files,Архивни файлове,
Backup Frequency,Честота на архивиране,
Daily,Ежедневно,
Description,Описание,
File Type,Тип файл,
Is Folder,Е папка,
Keyboard Shortcuts,Комбинация от клавиши,
Left,Наляво,
Old Parent,Предишен родител,
Reference DocName,Reference DocName,
Reference DocType,Референтен DocType,
Reload,Презареди,
Right,Дясно,
Secret,Тайна,
Send Email for Successful Backup,Изпратете имейл за успешно архивиране,
Send Notifications To,Изпращайте известия до,
Session Defaults,Сесия по подразбиране,
System Manager,Мениджър на система,
Title,Заглавие,
User Settings,Настройки на потребителя,
View Website,Виж Website,
Weekly,Седмично,
title,заглавие,
