Abbreviation,Singkatan,
All,Semua,
Attachment,Lampiran,
Backup Files,File Cadangan,
Backup Frequency,Frekuensi Pencadangan,
Daily,Sehari-hari,
Description,Deskripsi,
File Type,Tipe file,
Is Folder,Apakah Folder,
Keyboard Shortcuts,Pintasan keyboard,
Left,Waktu tersisa,
Old Parent,Old Parent,
Reference DocName,Referensi Nama Dokumen,
Reference DocType,Referensi DocType,
Reload,Mengisi kembali,
Right,Benar,
Secret,Rahasia,
Send Email for Successful Backup,Kirim Email untuk Pencadangan yang Sukses,
Send Notifications To,Kirim Pemberitahuan Untuk,
Session Defaults,Default Sesi,
System Manager,System Manager,
Title,Judul,
User Settings,Pengaturan pengguna,
View Website,Lihat Situs Web,
Weekly,Mingguan,
title,judul,
