Abbreviation,مخفف,
About,درباره,
All,همه,
Apps,برنامه ها,
Attachment,دلبستگی,
Backup Files,فایل های پشتیبان,
Backup Frequency,فرکانس پشتیبان گیری,
Daily,روزانه,
Description,شرح,
File Type,نوع فایل,
Frappe Support,پشتیبانی Frappe,
Is Folder,پوشه است,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Left,ترک کرد,
Log out,خروج,
Old Parent,مرجع پیشین,
Reference DocName,مرجع DocName,
Reference DocType,مرجع DocType,
Reload,بارگذاری مجدد,
Right,درست,
Secret,راز,
Send Email for Successful Backup,برای پشتیبان گیری موفقیت آمیز ایمیل ارسال کنید,
Send Notifications To,ارسال اعلان ها به,
Session Defaults,پیش‌فرض‌های نشست,
System Manager,مدیر سیستم,
Title,عنوان,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
User Settings,تنظیمات کاربر,
View Website,مشاهده وب سایت,
Weekly,هفتگی,
title,عنوان,
