Abbreviation,संक्षेप,
All,सर्व,
Attachment,संलग्नक,
Backup Files,बॅकअप फायली,
Backup Frequency,बॅकअप वारंवारता,
Daily,दैनिक,
Description,वर्णन,
File Type,दस्तावेजाचा प्रकार,
Is Folder,फोल्डर आहे,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Left,डावीकडे,
Old Parent,जुने पालक,
Reference DocName,संदर्भ डॉकनेम,
Reference DocType,संदर्भ डॉकटाइप,
Reload,रीलोड करा,
Right,अधिकार,
Secret,गुप्त,
Send Email for Successful Backup,यशस्वी बॅकअपसाठी ईमेल पाठवा,
Send Notifications To,सूचना पाठवा,
Session Defaults,सत्र डीफॉल्ट,
System Manager,प्रणाली व्यवस्थापक,
Title,शीर्षक,
User Settings,वापरकर्ता सेटिंग्ज,
View Website,वेबसाइट पहा,
Weekly,साप्ताहिक,
title,शीर्षक,
