Abbreviation,Santrumpa,
All,VISOS,
Attachment,areštas,
Backup Files,Atsarginės bylos,
Backup Frequency,Atsarginių kopijų darymo dažnis,
Daily,kasdien,
Description,Prekės ir paslaugos pavadinimas,
File Type,Failo tipas,
Is Folder,Ar Byla,
Keyboard Shortcuts,Klaviatūros nuorodos,
Left,į kairę,
Old Parent,Senas Tėvų,
Reference DocName,Nuoroda DocName,
Reference DocType,Nuoroda „DocType“,
Reload,Perkrauti,
Right,teisė,
Secret,Paslaptis,
Send Email for Successful Backup,Siųsti sėkmingą atsarginę kopiją,
Send Notifications To,Siųsti pranešimus,
Session Defaults,Sesijos numatytieji nustatymai,
System Manager,sistemos direktorius,
Title,Pavadinimas,
User Settings,Vartotojo nustatymai,
View Website,Peržiūrėti svetainė,
Weekly,kas savaitę,
title,pavadinimas,
