Abbreviation,Συντομογραφία,
All,Ολα,
Attachment,Κατάσχεση,
Backup Files,Αρχεία αντιγράφων ασφαλείας,
Backup Frequency,Συχνότητα Αντιγράφων ασφαλείας,
Daily,Καθημερινά,
Description,Περιγραφή,
File Type,Τύπος αρχείου,
Is Folder,Είναι Φάκελος,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Left,Αριστερά,
Old Parent,Παλαιός γονέας,
Reference DocName,Αρχείο αναφοράς αρχείου,
Reference DocType,DocType αναφοράς,
Reload,Επαναφόρτωση,
Right,Δεξιά,
Secret,Μυστικό,
Send Email for Successful Backup,Αποστολή ηλεκτρονικού ταχυδρομείου για επιτυχημένη δημιουργία αντιγράφων ασφαλείας,
Send Notifications To,Αποστολή ενημερώσεων σε,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
System Manager,Διαχειριστής συστήματος,
Title,Τίτλος,
User Settings,Ρυθμίσεις χρήστη,
View Website,Δείτε την ιστοσελίδα,
Weekly,Εβδομαδιαίος,
title,τίτλος,
