Abbreviation,Abkürzung,
About,Über,
All,Alle,
Apps,Apps,
Attachment,Anhang,
Backup Files,Sicherungs-Dateien,
Backup Frequency,Backup-Frequenz,
Daily,Täglich,
Description,Beschreibung,
File Type,Dateityp,
Frappe Support,Frappe Support,
Is Folder,Ist Ordner,
Keyboard Shortcuts,Tastaturkürzel,
Left,Links,
Log out,Abmelden,
Old Parent,Alte übergeordnetes Element,
Reference DocName,Referenz DocName,
Reference DocType,Referenz DocType,
Reload,Neu laden,
Right,Rechts,
Secret,Geheimnis,
Send Email for Successful Backup,Senden Sie eine E-Mail für eine erfolgreiche Sicherung,
Send Notifications To,Benachrichtigungen senden an,
Session Defaults,Sitzungsstandards,
System Manager,System-Manager,
Title,Bezeichnung,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
User Settings,Benutzereinstellungen,
View Website,Webseite anzeigen,
Weekly,Wöchentlich,
title,Titel,
